
number of trainable parameters: 3.27M
Epoch [1/1], eval_loss: 10.8248
Epoch [1/1], Step [11300/473591], Loss: 6.2396
Epoch [1/1], Step [11400/473591], Loss: 6.2279
Epoch [1/1], Step [11500/473591], Loss: 6.2157
Epoch [1/1], Step [11600/473591], Loss: 6.2047
Epoch [1/1], Step [11700/473591], Loss: 6.1934
Epoch [1/1], Step [11800/473591], Loss: 6.1820
Epoch [1/1], Step [11900/473591], Loss: 6.1708
Epoch [1/1], Step [12000/473591], Loss: 6.1602
Epoch [1/1], Step [12100/473591], Loss: 6.1492
Epoch [1/1], Step [12200/473591], Loss: 6.1385
Epoch [1/1], Step [12300/473591], Loss: 6.1274
Epoch [1/1], Step [12400/473591], Loss: 6.1170
Epoch [1/1], Step [12500/473591], Loss: 6.1061
Epoch [1/1], Step [12600/473591], Loss: 6.0957
Epoch [1/1], Step [12700/473591], Loss: 6.0866
Epoch [1/1], Step [12800/473591], Loss: 6.0763
Epoch [1/1], Step [12900/473591], Loss: 6.0665
Epoch [1/1], Step [13000/473591], Loss: 6.0569
Epoch [1/1], Step [13100/473591], Loss: 6.0470
Epoch [1/1], Step [13200/473591], Loss: 6.0374
Epoch [1/1], Step [13300/473591], Loss: 6.0277
Epoch [1/1], Step [13400/473591], Loss: 6.0179
Epoch [1/1], Step [13500/473591], Loss: 6.0086
Epoch [1/1], Step [13600/473591], Loss: 5.9993
Epoch [1/1], Step [13700/473591], Loss: 5.9901
Epoch [1/1], Step [13800/473591], Loss: 5.9800
Epoch [1/1], Step [13900/473591], Loss: 5.9711
Epoch [1/1], Step [14000/473591], Loss: 5.9619
Epoch [1/1], Step [14100/473591], Loss: 5.9526
Epoch [1/1], Step [14200/473591], Loss: 5.9439
Epoch [1/1], Step [14300/473591], Loss: 5.9350
Epoch [1/1], Step [14400/473591], Loss: 5.9270
Epoch [1/1], Step [14500/473591], Loss: 5.9179
Epoch [1/1], Step [14600/473591], Loss: 5.9099
Epoch [1/1], Step [14700/473591], Loss: 5.9014
Epoch [1/1], Step [14800/473591], Loss: 5.8925
Epoch [1/1], Step [14900/473591], Loss: 5.8840
Epoch [1/1], Step [15000/473591], Loss: 5.8754
Epoch [1/1], Step [15100/473591], Loss: 5.8674
Epoch [1/1], Step [15200/473591], Loss: 5.8588
Epoch [1/1], Step [15300/473591], Loss: 5.8508
Epoch [1/1], Step [15400/473591], Loss: 5.8428
Epoch [1/1], Step [15500/473591], Loss: 5.8355
Epoch [1/1], Step [15600/473591], Loss: 5.8274
Epoch [1/1], Step [15700/473591], Loss: 5.8194
Epoch [1/1], Step [15800/473591], Loss: 5.8117
